speaker_name,last name,first name,nickname,speaker_title_1,speaker_affiliation_1,speaker_title_2,speaker_affiliation_2,speaker_bio,speaker_website,twitter_handle
Alison Langmead,Langmead,Alison,,"Clinical Associate Professor and Director, Visual Media Workshop",University of Pittsburgh,"Associate Professor, School of Information Sciences",University of Pittsburgh,"<div class=""gmail_default"">​Alison Langmead holds a joint faculty appointment between the Dietrich School of Arts and Sciences and the School of Computing and Information at the University of Pittsburgh. She teaches and researches in the field of the digital humanities, focusing especially on applying digital methods mindfully within the context of visual and material culture studies._x000D__x000D_
<span style=""font-family: verdana, sans-serif;"">_x000D__x000D_
</span>For the Department of Art History and Architecture, Alison serves as the Director of the Visual Media Workshop (VMW). The mission of the VMW is to develop and encourage the creation of innovative methods for producing, disseminating, and preserving the academic work using digital technologies as a fundamental component of our scholarly toolkit. To achieve these objectives, she directs a technologically-focused environment of collaboration and creativity where students and faculty from a number of departments across the University come together to work on projects that apply digital methods and techniques with focus and intention._x000D__x000D_
<span style=""font-family: verdana, sans-serif;"">_x000D__x000D_
</span>For the School of Computing and Information (SCI), Alison researches the relationship between the historical practice of information management and digital computing, both as a historical narrative and also as a complex, changing process in contemporary America. This research, plus all of the theories, concepts, and models that she teaches at SCI, are put into daily practice in her work directing the VMW._x000D__x000D_
<span style=""font-family: verdana, sans-serif;"">_x000D__x000D_
</span>In terms of teaching, Alison teaches courses in digital preservation and the digital humanities, especially, but not exclusively, at the graduate level.Alison is also the principal contact for the <a href=""www.dhrx.pitt.edu/"">DHRX: Digital Humanities Research at Pitt</a> initiative, which represents a transdisciplinary network of scholars here at the University of Pittsburgh who use digital methods to study the ways in which humans interact with their environments, whether social or cultural, natural or human-created.</div>",haa.pitt.edu/people/alison-langmead,adlangmead 
Allen Renear,Renear,Allen,,Interim Dean and Professor,"Graduate School of Library and Information Science (GSLIS), University of Illinois",,,"<strong>Allen Renear</strong> is Interim Dean and Professor at GSLIS. He teaches courses and leads research in information modeling, data curation, digital humanities, scientific publishing, and the conceptual foundations of information organization. Prior to coming to the Graduate School of Library and Information Science, he was the Director of the Brown University Scholarly Technology Group. Dr. Renear received an AB from Bowdoin College and an MA and PhD from Brown University. His research is typically concerned with foundational issues in the development of formal ontologies for scientific and cultural objects, and the exploitation of those ontologies in data curation, scientific publishing and information system design. Recently his work has focused on fundamental issues in the curation of scientific datasets and conceptual models for data management and preservation. This includes topics such as levels of abstraction and encoding, identity, ontology, etc. His projects are located at the Center for Informatics Research in Science and Scholarship (CIRSS) and have been funded by NSF and IMLS.",,
Amanda French,French,Amanda,,THATCamp Coordindator,Roy Rosenzweig Center for History and New Media,,,"<strong>Amanda French</strong> is currently Research Assistant Professor and <a href=""thatcamp.org"">THATCamp</a> Coordinator at the Roy Rosenzweig <a href=""chnm.gmu.edu"">Center for History and New Media</a> at George Mason University, helping scholars worldwide organize their own version of The Humanities and Technology Camp, “an inexpensive, open meeting where humanists and technologists of all skill levels learn and build together in sessions proposed on the spot.” Before that, she was an Assistant Research Scholar in the Archives and Public History program at New York University, where she helped develop a model curriculum emphasizing digital skills, and where she developed and taught the graduate course “<a href=""aphdigital.orgclasses/G572033F09/"">Creating Digital History</a>.” Before that, French taught graduate and undergraduate courses in <a href=""eng560.wordpress.com"">Victorian poetry and poetics</a>, <a href=""wikis.lib.ncsu.edu/index.php//files/ENG_463"">the Victorian period</a>, and <a href=""hon296a.wordpress.com/"">academic research methods for the digital age</a> as a Teaching Assistant Professor at North Carolina State University. She held the <a href=""www.clir.orgfellowships/postdoc/postdoc.html"">Council on Library and Information Resources Postdoctoral Fellowship</a> from 2004 to 2006.",,amandafrench
Amanda Starling Gould,Starling Gould,Amanda,,Digital Humanities Specialist & Visiting Research Associate,Duke University,,,"Amanda Starling Gould, PhD is the Digital Humanities Specialist / Special Projects Coordinator for the Franklin Humanities Institute (FHI) at Duke University. She teaches publicly-engaged environmental humanities courses, researches EcoDH, collaborates on regional public humanities initiatives, and consults on digital humanities programming, projects and pedagogies.",amandastarlinggould.com,stargould
Amanda Visconti,Visconti,Amanda,,Winnemore Digital Dissertation Fellow,Maryland Institute for Technology in the Humanities,,,"Amanda Visconti was MITH's Winnemore Digital Dissertation Fellow for 2014-2015 and holds a Ph.D in Literature from the University of Maryland; she also holds a master's with a specialization in digital humanities HCI from the University of Michigan School of Information. Visconti recently completed a digital dissertation with an innovative format and methodology: scholarly blogging, design, coding, user-testing, and a journal article, rather than the traditional proto-monograph. She regularly blogs about her dissertation at <a href=""www.literaturegeek.com/"" target=""_blank"">LiteratureGeek.com</a> and tweets <a href=""www.twitter.com/Literature_Geek"" target=""_blank"">@Literature_Geek</a>. An active member of the digital humanities community, Visconti's DH activity includes co-organizing a THATCamp (the inaugural THATCamp Games), receiving an ACH Microgrant for information visualization of knowledge flow in Digital Humanities Quarterly, and invited attendance at <a href=""codespeak.scholarslab.org"" target=""_blank"">Speaking in Code</a> and <a href=""oneweekonetool.org"" target=""_blank"">One Week | One Tool</a>. She is also a professional web developer who has served in three past digital archives, web development, and usability roles at MITH.",LiteratureGeek.com,Literature_Geek
André Brock,Brock,André,,Assistant Professor of Communication Studies,University of Michigan ,,,"André Brock is an Assistant Professor of Communication Studies at the University of Michigan. Brock is one of the preeminent scholars of Black Cyberculture. His work bridges Science and Technology Studies and Critical Discourse Analysis, showing how the communicative affordances of online media align with those of Black communication practices. He recently completed a sabbatical as a Visiting Researcher with the Social Media Collective at Microsoft Research New England, and is working on a manuscript on Black online technoculture.",umich.academia.edu/Andr%C3%A9Brock,DocDre
Andrew Ferguson,Ferguson,Andrew,,"Visiting Assistant Professor, English",University of Maryland,,,"Andrew Ferguson is a visiting assistant professor of digital studies in the Department of English at UMD. He works at the intersection of media-textual studies, cultural theory, and popular culture, which results in him doing things like willingly signing up to write an article that will require watching The Star Wars Holiday Special several times. Other ongoing projects include a study on editorial labor and style in science fiction, essays on born-digital horror and the writings of Dr. Chuck Tingle, and the manuscript on glitches and narrative theory from which this talk is taken.",,epiktistes
Andrew Johnston,Johnston,Andrew,,Assistant Professor of English,North Carolina State University ,,,"Andrew Johnston is an Assistant Professor in the Film Studies Program, the Program in Communication, Rhetoric, and Digital Media, and the Department of English at North Carolina State University. His forthcoming book, <em>Pulses of Abstraction: Episodes from a History of Animation</em> (University of Minnesota Press), is a theoretical and historical investigation of abstract animation in cinema and computational media from the 1950s through the 1970s. His research on film history, aesthetic theory, media archaeology, and avant-garde film has appeared in books and journals such as <em>Color and the Moving Image</em>, <em>Animating Film Theory</em>, <em>Animation: Behind the Silver Screen</em>, <em>Discourse: Journal for Theoretical Studies in Media and Culture</em>, and <em>The Moving Image</em>. He is currently completing a series of articles about the historical development of Computer-Generated Imagery from the 1960s through the 1980s and methods of archiving and transcoding these works on contemporary platforms.",,a_johnston
Andrew Stauffer,Stauffer,Andrew,,,,,,,,
Andries van Dam,van Dam,Andries,Andy,Professor of Technology and Education and Professor of Computer Science,Brown University,,,"Andries van Dam is the Thomas J. Watson Jr. University Professor of Technology and Education and Professor of Computer Science at Brown University. He has been a member of Brown's faculty since 1965, was a co-founder of Brown's Computer Science Department and its first Chairman from 1979 to 1985, and was also Brown's first Vice President for Research from 2002 - 2006. His research includes work on computer graphics, hypermedia systems, post-WIMP and natural user interfaces (NUI), including pen- and touch-computing, and educational software. He has been working for over four decades on systems for creating and reading electronic books with interactive illustrations for use in teaching and research. In 1967 Prof. van Dam co-founded ACM SICGRAPH (the precursor of SIGGRAPH) and from 1985 through 1987 was Chairman of the Computing Research Association. He is a Fellow of ACM, IEEE, and AAAS, a member of the National Academy of Engineering, and the American Academy of Arts &amp; Sciences. He has received the ACM Karl V. Karlstrom Outstanding Educator Award, the SIGGRAPH Steven A. Coons Award for Outstanding Creative Contributions to Computer Graphics, and the IEEE Centennial Medal, and holds four honorary doctorates. He has authored or co-authored over 100 papers and nine books, including ""Fundamentals of Interactive Computer Graphics"" and three editions of ""Computer Graphics: Principles and Practice"".",cs.brown.edu/~avd/,
Angel David Nieves,David Nieves,Angel,,,,,,,,
Ann Fraistat,Fraistat,Ann,,,,,,,,
Ann Weeks,Weeks,Ann,,,,,,,,
Anna Kijas,Kijas,Anna,,Music Librarian,Head of Lilly Music Library Tufts University,,,"Anna E. Kijas is a Music Librarian and Head of Lilly Music Library at Tufts University (https://tischlibrary.tufts.edu/use-library/music-library). She is interested in exploring the affordances and application of digital humanities tools and methods in historical (music) research, the application of standards, including TEI and MEI, for open access research and publishing, and the use of minimal computing. She also explores and writes about topics in nineteenth century music with a focus on gender, women, and performance criticism and reception._x000D__x000D_
_x000D__x000D_
Anna recently published a book entitled """"The Life and Music of Teresa Carreño (1853-1917): A Guide to Research"""", and developed a digital project (https://documentingcarreno.org), which documents Carreño’s performance career with primary source materials, metadata, and transcriptions, as well as explores her performances and texts through data analysis and visualization tools. She writes about using digital humanities tools and methods to explore, visualize, and augment scholarship. Anna is currently serving on the Executive Council for the Association for Computers and the Humanities (ACH), is Chair of the Affiliation and Liaisons Committee (ACH), and Chair of the Organizing Committee for the upcoming Music Encoding Conference (2020).",,anna_kijas
Anne Balsamo,Balsamo,Anne,,Dean and Professor of Media Studies,The New School for Public Engagement,,,"Dr. Balsamo is a groundbreaking national leader in media studies, a scholar and media-maker whose work links cultural studies, digital humanities, and interactive media. She received her PhD in Communications Research from the University of Illinois at Urbana-Champaign and began her faculty career in the School of Literature, Culture, and Communications at Georgia Tech, where she published a distinguished book about the cultural implications of emergent biotechnologies, Technologies of the Gendered Body: Reading Cyborg Women. In 1999, having grown interested in the practical linkages between technology and culture, she accepted an offer to join the celebrated Xerox Palo Alto Research Center (PARC), collaborating in the design of media for reading, exhibition, public art, and cultural projects. In 2003, Dr. Balsamo moved from Silicon Valley to USC, where she had been jointly appointed in the Annenberg School of Communications and the School of Cinematic Arts. She directed the Collaborative Design Lab within the Interactive Design Division of the School of Cinematic Arts. She has been a leader in the growth of digital humanities nationally, serving on the Advisory Board of HASTAC (Humanities, Arts, Science, and Technology Advanced Co-laboratory) since its founding in 2003. In 2011, she published Designing Culture: The Technological Imagination at Work, a transmedia book (with accompanying DVD and web linkages to interactive media projects) that synthesizes and theorizes the links between her cultural studies scholarship and digital media projects.",,annebalsamo
Anne Collins Goodyear,Collins Goodyear,Anne,,Associate Curator,National Gallery,,,,,
April Householder,Householder,April,,,"University of Maryland, College Park",,,,,
Asim Ali,Ali,Asim,,,,,,,,
Avery Dame,Dame,Avery,,Ph.D. Candidate in Women's Studies,University of Maryland,,,"Avery Dame currently serves as <a href=""mith.umd.edu/community/fellowships/winnemore-fellows/"">MITH Winnemore Digital Dissertation Fellow</a> for 2016-2017. He is a Ph.D. candidate in Women’s Studies at the University of Maryland, College Park. Avery received his BA (2010) in English from the <a href=""english.ua.edu/"">University of Alabama</a>, Tuscaloosa, and his MA (2012) in American Studies from <a href=""americanstudies.ku.edu/"">the University of Kansas</a>. His work has appeared in the <i>Journal of Language and Sexuality</i>, <i>Critical Studies in Media Communication</i>, and <i>TSQ: Transgender Studies Quarterly</i>, and he served as Assistant Editor of <a href=""https://journals.ku.edu/index.php/amerstud""><i>AMSJ: American Studies</i></a> from 2010 to 2012._x000D__x000D_
_x000D__x000D_
His research interests include new media, sociolinguistics, gender and transgender studies, and discourse analysis. While at UMD, his dissertation work <i>Talk Amongst Yourselves: Conceptions of “Community” in Transgender Counterpublic Discourse Online, 1990 – 2014</i>, explores the affective and structural meanings assigned to “community” in English-language transgender discourse online. Drawing on a variety of historic and contemporary sites, he analyzes how users past and present construct “transgender community” in discourse—constructions shaped by different platform-specific affordances. His MITH project focuses on building a searchable archive of two major transgender Usenet groups, alt.transgendered and soc.support.transgender, amongst the few archival sites where the term “cisgender” is used._x000D__x000D_
_x000D__x000D_
Avery’s teaching also brings his focus on technology into the classroom. He has developed student projects focused on adding coverage for underrepresented subjects and groups on Wikipedia; You can see some of his students’ pages <a href=""https://wikiedu.orgblog/2015/03/09/the-roundup-women-and-art-part-2/"">highlighted by the Wiki Education Foundation here</a>. He has also led Game Design workshops for the Design Cultures &amp; Creativity program at UMD.",mith.umd.edu/people/person/avery-dame/,averydame
Ben Bederson,Bederson,Ben,,Associate Professor of Computer Science,University of Maryland,,,"<strong>Benjamin B. Bederson</strong> is an Associate Professor of Computer Science and the previous director of the Human-Computer Interaction Lab at the Institute for Advanced Computer Studies and iSchool at the University of Maryland. His research is on mobile device interfaces, information visualization, interaction strategies, digital libraries, and accessibility issues such as voting system usability. He is also co-founder and Chief Scientist of Zumobi, a startup offering a mobile content platform based on that research.",cs.umd.edu/~bederson/,bederson
Ben Shneiderman,Shneiderman,Ben,,,Computer Science,,,,,
Bernard Frischer,Frischer,Bernard,,Professor of Art,University of Virginia,,,"Bernard Frischer is a leading virtual archaeologist and the author of seven printed books, three e-books, and dozens of articles on virtual heritage, Classics, and the survival of the Classical world. He is the founding editor of<a href=""www.journals.elsevier.com/digital-applications-in-archaeology-and-cultural-heritage/news/editor-in-chief-introduces-the-journal/"" target=""_blank""> Digital Applications in Archaeology and Cultural Heritage</a>, an innovative online, peer-reviewed journal where scientists can publish interactive 3D models.",frischer.org,
Beth Bonsignore,Bonsignore,Beth,,,"iSchool, University of Maryland",,,,,ebonsign
Beth Coleman,Coleman,Beth,,Assistant Professor of Writing and New Media,Massachusetts Institute of Technology,,,,,drbethcoleman
Beth Plale,Plale,Beth,,"Professor, Computer Science",Indiana University,,,"<strong>Beth Plale</strong> is Director of the Data To Insight Center and Professor of Computer Science at Indiana University Bloomington.  Professor Plale has broad research and governance interest in long term preservation and access to digital data, and enabling computational access to large-scale data for broader groups of researchers. Her specific research interests are in tools for metadata and provenance capture, data repositories, cyberinfrastructure for large-scale data analysis, and workflow systems.  Plale is a recipient of the prestigious DOE Early Career award and is a senior member of ACM and an IEEE Member.",,
Bethany Nowviskie,Nowviskie,Bethany,,Director of Digital Research and Scholarship,University of Virginia Library,,,"<strong>Bethany Nowviskie</strong> is Director of Digital Research &amp; Scholarship at the <a href=""lib.virginia.edu/"">University of Virginia Library</a>, Associate Director of the <a href=""uvasci.org"">Scholarly Communication Institute</a>, and President of the <a href=""ach.org"">Association for Computers and the Humanities </a>(ACH). In addition to leading the ACH, she is a steering committee member for <a href=""digitalhumanities.orgcenternet/"">centerNet</a> (the international organization of digital humanities centers) and <a href=""mediacommons.futureofthebook.org"">MediaCommons</a>, and chair of the <a href=""mla.org"">MLA</a>‘s Committee on Information Technology. At UVa, she represents the Library on the <a href=""www.virginia.edu/generalfacultycouncil/"">General Faculty Council</a>.",,nowviskie
Bill Ferster,Ferster,Bill,,Senior Scientist,University of Virginia,,,"<strong>Bill Ferster</strong> directs the <a href=""www.viseyes.org"" target=""_blank"">VisualEyes Project</a> at the University of Virginia with a joint faculty appointment with the Center for Technology and Teacher Education at the Curry School of Education, and with the  Sciences, Humanities &amp; Arts Technology Initiative (SHANTI)  at the College of Arts and Sciences._x000D_
_x000D_
In past lives, he founded StageTools, a leading developer of digital motion control tools with its MovingPicture product; Editing Machines, EMMY award winning developer of the first digital nonlinear editing system; and West End, a pioneer in PC-based animation and presentation graphics tools.",,
Bill Lefurgy,Lefurgy,Bill,,Digital Initiatives Manager,National Digital Information Infrastructure and Preservation Program at the Library of Congress,,,"<strong>Bill LeFurgy</strong>, digital initiatives manager, has worked for the National Digital Information Infrastructure and Preservation Program (NDIIPP) at the Library of Congress since June 2002. He leads the NDIIPP Communications Team, which interacts with a broad range of people interested in preserving access to digital information. In former lives, LeFurgy dealt with electronic records at the National Archives and Records Administration and served as Baltimore City Archivist and Records Management Officer. While he has memories of punch cards, monochrome monitors, and 30-pound portable computers, he is also an enthusiastic creator and consumer of social media. He has a BA degree in History from McGill University, as well as an MLS and MA in History from the University of Maryland.",,blefurgy
Brad Pasanek,Pasanek,Brad,,Assistant Professor of Eighteenth-Century Literature and Digital Humanities,University of Virginia,,,"<strong>Brad Pasanek</strong> is the Assistant Professor of Eighteenth-Century Literature and Digital Humanities at the University of Virginia. Brad received his B.A. from the University of Chicago and his Ph.D. from Stanford University. He recently published two Literary and Linguistic Computing works: ""Meaning and Mining"" &amp; ""Mining Millions of Metaphors.""",bradpasanek.com,bpasanek
Brandon Morse,Morse,Brandon,,,"Art, University of Maryland",,,,,
Brent Seales,Seales,Brent,,Professor and Chair of Computer Science,"Center for Visualization and Virtual Environments, University of Kentucky",,,"Dr. Seales’ research focuses on digital imaging in two very different directions: medical imaging and cultural heritage. His EDUCE project (Enhanced Digital Unwrapping for Conservation and Exploration) seeks to create readable images of texts such as papyrus scrolls, without opening them, using minimally invasive scanning and virtual unwrapping. Dr. Seales is developing and evaluating new techniques for digital acquisition, restoration, and visualization using real-world library collections with particular focus on preservation and dissemination. He is also the director of the STITCH project (Surgical Technology Integration with Tools for Cognitive Human Factors), which envisions a networked operating room of the future, where computers and surgical instruments are connected. The result: an enriched and more efficient environment for surgeons.",vis.uky.edu/about/people/faculty/brent-seales/,
Brett Bobley,Bobley,Brett,,,National Endowment for the Humanities,,,,,
Bryan Carter,Carter,Bryan,,Associate Professor of Literature,University of Central Missouri,,,"<strong>Bryan Carter</strong> is an Associate Professor of literature at the University of Central Missouri. He specializes in African American literature of the 20th Century with a primary focus on the Harlem Renaissance and has a secondary emphasis on visual culture. He has published numerous articles on his project, Virtual Harlem, an educational sim in Second Life representing Harlem as it existed during the Harlem Renaissance of the 1920s, and has presented it at locations around the world.",ibryancarter.com,bcmin
Byron Hawk,Hawk,Byron,,Associate Professor of English,George Mason University,,,"<div class=""sidebaritem"">_x000D__x000D_
<div class=""sbicontent"">_x000D__x000D_
_x000D__x000D_
Byron Hawk is an Associate Professor of English at George Mason University. His research interests are histories and theories of composition, rhetorical theory and technology, and rhetorics of popular music. He is the author of <i>A Counter-History of Composition: Toward Methodologies of Complexity </i>(University of Pittsburgh Press, 2007), which won JAC's W. Ross Winterowd Award._x000D__x000D_
_x000D__x000D_
</div>_x000D__x000D_
</div>_x000D__x000D_
<div class=""sidebaritem""></div>",,
