speaker_name,last name,first name,nickname,speaker_title_1,speaker_affiliation_1,speaker_title_2,speaker_affiliation_2,speaker_bio,speaker_website,twitter_handle
Alison Langmead,Langmead,Alison,,"Clinical Associate Professor and Director, Visual Media Workshop",University of Pittsburgh,"Associate Professor, School of Information Sciences",University of Pittsburgh,"{\pard \ql \f0 \sa0 \li0 \fi0 \u8203?Alison Langmead holds a joint faculty appointment between the Dietrich School of Arts and Sciences and the School of Computing and Information at the University of Pittsburgh. She teaches and researches in the field of the digital humanities, focusing especially on applying digital methods mindfully within the context of visual and material culture studies._x000D__x000D_ _x000D__x000D_ For the Department of Art History and Architecture, Alison serves as the Director of the Visual Media Workshop (VMW). The mission of the VMW is to develop and encourage the creation of innovative methods for producing, disseminating, and preserving the academic work using digital technologies as a fundamental component of our scholarly toolkit. To achieve these objectives, she directs a technologically-focused environment of collaboration and creativity where students and faculty from a number of departments across the University come together to work on projects that apply digital methods and techniques with focus and intention._x000D__x000D_ _x000D__x000D_ For the School of Computing and Information (SCI), Alison researches the relationship between the historical practice of information management and digital computing, both as a historical narrative and also as a complex, changing process in contemporary America. This research, plus all of the theories, concepts, and models that she teaches at SCI, are put into daily practice in her work directing the VMW._x000D__x000D_ _x000D__x000D_ In terms of teaching, Alison teaches courses in digital preservation and the digital humanities, especially, but not exclusively, at the graduate level.Alison is also the principal contact for the {\field{\*\fldinst{HYPERLINK ""www.dhrx.pitt.edu/""}}{\fldrslt{\ul
DHRX: Digital Humanities Research at Pitt
}}}
 initiative, which represents a transdisciplinary network of scholars here at the University of Pittsburgh who use digital methods to study the ways in which humans interact with their environments, whether social or cultural, natural or human-created.\par}

",haa.pitt.edu/people/alison-langmead,adlangmead 
Allen Renear,Renear,Allen,,Interim Dean and Professor,"Graduate School of Library and Information Science (GSLIS), University of Illinois",,,"{\pard \ql \f0 \sa0 \li0 \fi0 {\b Allen Renear} is Interim Dean and Professor at GSLIS. He teaches courses and leads research in information modeling, data curation, digital humanities, scientific publishing, and the conceptual foundations of information organization. Prior to coming to the Graduate School of Library and Information Science, he was the Director of the Brown University Scholarly Technology Group. Dr. Renear received an AB from Bowdoin College and an MA and PhD from Brown University. His research is typically concerned with foundational issues in the development of formal ontologies for scientific and cultural objects, and the exploitation of those ontologies in data curation, scientific publishing and information system design. Recently his work has focused on fundamental issues in the curation of scientific datasets and conceptual models for data management and preservation. This includes topics such as levels of abstraction and encoding, identity, ontology, etc. His projects are located at the Center for Informatics Research in Science and Scholarship (CIRSS) and have been funded by NSF and IMLS.\par}

",,
Amanda French,French,Amanda,,THATCamp Coordindator,Roy Rosenzweig Center for History and New Media,,,"{\pard \ql \f0 \sa0 \li0 \fi0 {\b Amanda French} is currently Research Assistant Professor and {\field{\*\fldinst{HYPERLINK ""thatcamp.org""}}{\fldrslt{\ul
THATCamp
}}}
 Coordinator at the Roy Rosenzweig {\field{\*\fldinst{HYPERLINK ""chnm.gmu.edu""}}{\fldrslt{\ul
Center for History and New Media
}}}
 at George Mason University, helping scholars worldwide organize their own version of The Humanities and Technology Camp, \u8220""an inexpensive, open meeting where humanists and technologists of all skill levels learn and build together in sessions proposed on the spot.\u8221"" Before that, she was an Assistant Research Scholar in the Archives and Public History program at New York University, where she helped develop a model curriculum emphasizing digital skills, and where she developed and taught the graduate course \u8220""{\field{\*\fldinst{HYPERLINK ""aphdigital.orgclasses/G572033F09/""}}{\fldrslt{\ul
Creating Digital History
}}}
.\u8221"" Before that, French taught graduate and undergraduate courses in {\field{\*\fldinst{HYPERLINK ""eng560.wordpress.com""}}{\fldrslt{\ul
Victorian poetry and poetics
}}}
, {\field{\*\fldinst{HYPERLINK ""wikis.lib.ncsu.edu/index.php//files/ENG_463""}}{\fldrslt{\ul
the Victorian period
}}}
, and {\field{\*\fldinst{HYPERLINK ""hon296a.wordpress.com/""}}{\fldrslt{\ul
academic research methods for the digital age
}}}
 as a Teaching Assistant Professor at North Carolina State University. She held the {\field{\*\fldinst{HYPERLINK ""www.clir.orgfellowships/postdoc/postdoc.html""}}{\fldrslt{\ul
Council on Library and Information Resources Postdoctoral Fellowship
}}}
 from 2004 to 2006.\par}

",,amandafrench
Amanda Starling Gould,Starling Gould,Amanda,,Digital Humanities Specialist & Visiting Research Associate,Duke University,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Amanda Starling Gould, PhD is the Digital Humanities Specialist / Special Projects Coordinator for the Franklin Humanities Institute (FHI) at Duke University. She teaches publicly-engaged environmental humanities courses, researches EcoDH, collaborates on regional public humanities initiatives, and consults on digital humanities programming, projects and pedagogies.\par}

",amandastarlinggould.com,stargould
Amanda Visconti,Visconti,Amanda,,Winnemore Digital Dissertation Fellow,Maryland Institute for Technology in the Humanities,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Amanda Visconti was MITH's Winnemore Digital Dissertation Fellow for 2014-2015 and holds a Ph.D in Literature from the University of Maryland; she also holds a master's with a specialization in digital humanities HCI from the University of Michigan School of Information. Visconti recently completed\u160?a digital dissertation with an innovative format and methodology: scholarly blogging, design, coding, user-testing, and a journal article, rather than the traditional proto-monograph. She regularly blogs about her dissertation at {\field{\*\fldinst{HYPERLINK ""www.literaturegeek.com/""}}{\fldrslt{\ul
LiteratureGeek.com
}}}
 and tweets\u160?{\field{\*\fldinst{HYPERLINK ""www.twitter.com/Literature_Geek""}}{\fldrslt{\ul
@Literature_Geek
}}}
. An active member of the digital humanities community, Visconti's DH activity includes co-organizing a THATCamp (the inaugural THATCamp Games), receiving an ACH Microgrant for information visualization of knowledge flow in Digital Humanities Quarterly, and invited attendance at {\field{\*\fldinst{HYPERLINK ""codespeak.scholarslab.org""}}{\fldrslt{\ul
Speaking in Code
}}}
 and {\field{\*\fldinst{HYPERLINK ""oneweekonetool.org""}}{\fldrslt{\ul
One Week | One Tool
}}}
. She is also a professional web developer who has served in three past digital archives, web development, and usability roles at MITH.\par}

",LiteratureGeek.com,Literature_Geek
André Brock,Brock,André,,Assistant Professor of Communication Studies,University of Michigan ,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Andr\u233? Brock is an Assistant Professor of Communication Studies at the University of Michigan. Brock is one of the preeminent scholars of Black Cyberculture. His work bridges Science and Technology Studies and Critical Discourse Analysis, showing how the communicative affordances of online media align with those of Black communication practices. He recently completed a sabbatical as a Visiting Researcher with the Social Media Collective at Microsoft Research New England, and is working on a manuscript on Black online technoculture.\par}

",umich.academia.edu/Andr%C3%A9Brock,DocDre
Andrew Ferguson,Ferguson,Andrew,,"Visiting Assistant Professor, English",University of Maryland,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Andrew Ferguson is a visiting assistant professor of digital studies in the Department of English at UMD. He works at the intersection of media-textual studies, cultural theory, and popular culture, which results in him doing things like willingly signing up to write an article that will require watching The Star Wars Holiday Special several times. Other ongoing projects include a study on editorial labor and style in science fiction, essays on born-digital horror and the writings of Dr. Chuck Tingle, and the manuscript on glitches and narrative theory from which this talk is taken.\par}

",,epiktistes
Andrew Johnston,Johnston,Andrew,,Assistant Professor of English,North Carolina State University ,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Andrew Johnston is an Assistant Professor in the Film Studies Program, the Program in Communication, Rhetoric, and Digital Media, and the Department of English at North Carolina State University. His forthcoming book, {\i Pulses of Abstraction: Episodes from a History of Animation} (University of Minnesota Press), is a theoretical and historical investigation of abstract animation in cinema and computational media from the 1950s through the 1970s. His research on film history, aesthetic theory, media archaeology, and avant-garde film has appeared in books and journals such as {\i Color and the Moving Image}, {\i Animating Film Theory}, {\i Animation: Behind the Silver Screen}, {\i Discourse: Journal for Theoretical Studies in Media and Culture}, and {\i The Moving Image}. He is currently completing a series of articles about the historical development of Computer-Generated Imagery from the 1960s through the 1980s and methods of archiving and transcoding these works on contemporary platforms.\par}

",,a_johnston
Andrew Stauffer,Stauffer,Andrew,,,,,,"

",,
Andries van Dam,van Dam,Andries,Andy,Professor of Technology and Education and Professor of Computer Science,Brown University,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Andries van Dam is the Thomas J. Watson Jr. University Professor of Technology and Education and Professor of Computer Science at Brown University. He has been a member of Brown's faculty since 1965, was a co-founder of Brown's Computer Science Department and its first Chairman from 1979 to 1985, and was also Brown's first Vice President for Research from 2002 - 2006. His research includes work on computer graphics, hypermedia systems, post-WIMP and natural user interfaces (NUI), including pen- and touch-computing, and educational software. He has been working for over four decades on systems for creating and reading electronic books with interactive illustrations for use in teaching and research. In 1967 Prof. van Dam co-founded ACM SICGRAPH (the precursor of SIGGRAPH) and from 1985 through 1987 was Chairman of the Computing Research Association. He is a Fellow of ACM, IEEE, and AAAS, a member of the National Academy of Engineering, and the American Academy of Arts & Sciences. He has received the ACM Karl V. Karlstrom Outstanding Educator Award, the SIGGRAPH Steven A. Coons Award for Outstanding Creative Contributions to Computer Graphics, and the IEEE Centennial Medal, and holds four honorary doctorates. He has authored or co-authored over 100 papers and nine books, including ""Fundamentals of Interactive Computer Graphics"" and three editions of ""Computer Graphics: Principles and Practice"".\par}

",cs.brown.edu/~avd/,
Angel David Nieves,David Nieves,Angel,,,,,,"

",,
Ann Fraistat,Fraistat,Ann,,,,,,"

",,
Ann Weeks,Weeks,Ann,,,,,,"

",,
Anna Kijas,Kijas,Anna,,Music Librarian,Head of Lilly Music Library Tufts University,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Anna E. Kijas is a Music Librarian and Head of Lilly Music Library at Tufts University (https://tischlibrary.tufts.edu/use-library/music-library). She is interested in exploring the affordances and application of digital humanities tools and methods in historical (music) research, the application of standards, including TEI and MEI, for open access research and publishing, and the use of minimal computing. She also explores and writes about topics in nineteenth century music with a focus on gender, women, and performance criticism and reception._x000D__x000D_ _x000D__x000D_ Anna recently published a book entitled """"The Life and Music of Teresa Carre\u241?o (1853-1917): A Guide to Research"""", and developed a digital project (https://documentingcarreno.org), which documents Carre\u241?o\u8217's performance career with primary source materials, metadata, and transcriptions, as well as explores her performances and texts through data analysis and visualization tools. She writes about using digital humanities tools and methods to explore, visualize, and augment scholarship. Anna is currently serving on the Executive Council for the Association for Computers and the Humanities (ACH), is Chair of the Affiliation and Liaisons Committee (ACH), and Chair of the Organizing Committee for the upcoming Music Encoding Conference (2020).\par}

",,anna_kijas
Anne Balsamo,Balsamo,Anne,,Dean and Professor of Media Studies,The New School for Public Engagement,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Dr. Balsamo is a groundbreaking national leader in media studies, a scholar and media-maker whose work links cultural studies, digital humanities, and interactive media. She received her PhD in Communications Research from the University of Illinois at Urbana-Champaign and began her faculty career in the School of Literature, Culture, and Communications at Georgia Tech, where she published a distinguished book about the cultural implications of emergent biotechnologies, Technologies of the Gendered Body: Reading Cyborg Women. In 1999, having grown interested in the practical linkages between technology and culture, she accepted an offer to join the celebrated Xerox Palo Alto Research Center (PARC), collaborating in the design of media for reading, exhibition, public art, and cultural projects. In 2003, Dr. Balsamo moved from Silicon Valley to USC, where she had been jointly appointed in the Annenberg School of Communications and the School of Cinematic Arts. She directed the Collaborative Design Lab within the Interactive Design Division of the School of Cinematic Arts. She has been a leader in the growth of digital humanities nationally, serving on the Advisory Board of HASTAC (Humanities, Arts, Science, and Technology Advanced Co-laboratory) since its founding in 2003. In 2011, she published Designing Culture: The Technological Imagination at Work, a transmedia book (with accompanying DVD and web linkages to interactive media projects) that synthesizes and theorizes the links between her cultural studies scholarship and digital media projects.\par}

",,annebalsamo
Anne Collins Goodyear,Collins Goodyear,Anne,,Associate Curator,National Gallery,,,"

",,
April Householder,Householder,April,,,"University of Maryland, College Park",,,"

",,
Asim Ali,Ali,Asim,,,,,,"

",,
Avery Dame,Dame,Avery,,Ph.D. Candidate in Women's Studies,University of Maryland,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Avery Dame currently serves as {\field{\*\fldinst{HYPERLINK ""mith.umd.edu/community/fellowships/winnemore-fellows/""}}{\fldrslt{\ul
MITH Winnemore Digital Dissertation Fellow
}}}
 for 2016-2017. He is a Ph.D. candidate in Women\u8217's Studies at the University of Maryland, College Park. Avery received his BA (2010) in English from the {\field{\*\fldinst{HYPERLINK ""english.ua.edu/""}}{\fldrslt{\ul
University of Alabama
}}}
, Tuscaloosa, and his MA (2012) in American Studies from {\field{\*\fldinst{HYPERLINK ""americanstudies.ku.edu/""}}{\fldrslt{\ul
the University of Kansas
}}}
. His work has appeared in the {\i Journal of Language and Sexuality}, {\i Critical Studies in Media Communication}, and {\i TSQ: Transgender Studies Quarterly}, and he served as Assistant Editor of {\field{\*\fldinst{HYPERLINK ""https://journals.ku.edu/index.php/amerstud""}}{\fldrslt{\ul
{\i AMSJ: American Studies}
}}}
 from 2010 to 2012._x000D__x000D_ _x000D__x000D_ His research interests include new media, sociolinguistics, gender and transgender studies, and discourse analysis. While at UMD, his dissertation work {\i Talk Amongst Yourselves: Conceptions of \u8220""Community\u8221"" in Transgender Counterpublic Discourse Online, 1990 \u8211- 2014},\u160?explores the affective and structural meanings assigned to \u8220""community\u8221"" in English-language transgender discourse online. Drawing on a variety of historic and contemporary sites, he\u160?analyzes how users past and present construct \u8220""transgender community\u8221"" in discourse\u8212-constructions shaped by different platform-specific affordances. His MITH project focuses on building a searchable archive of two major transgender Usenet groups, alt.transgendered and soc.support.transgender, amongst the few archival sites where the term \u8220""cisgender\u8221"" is used._x000D__x000D_ _x000D__x000D_ Avery\u8217's teaching also brings his focus on technology into the classroom. He has developed student projects focused on adding coverage for underrepresented subjects and groups on Wikipedia; You can see some of his students\u8217' pages {\field{\*\fldinst{HYPERLINK ""https://wikiedu.orgblog/2015/03/09/the-roundup-women-and-art-part-2/""}}{\fldrslt{\ul
highlighted by the Wiki Education Foundation here
}}}
. He has also led Game Design workshops for the Design Cultures & Creativity program at UMD.\par}

",mith.umd.edu/people/person/avery-dame/,averydame
Ben Bederson,Bederson,Ben,,Associate Professor of Computer Science,University of Maryland,,,"{\pard \ql \f0 \sa0 \li0 \fi0 {\b Benjamin B. Bederson} is an Associate Professor of Computer Science and the previous director of the Human-Computer Interaction Lab at the Institute for Advanced Computer Studies and iSchool at the University of Maryland. His research is on mobile device interfaces, information visualization, interaction strategies, digital libraries, and accessibility issues such as voting system usability. He is also co-founder and Chief Scientist of Zumobi, a startup offering a mobile content platform based on that research.\par}

",cs.umd.edu/~bederson/,bederson
Ben Shneiderman,Shneiderman,Ben,,,Computer Science,,,"

",,
Bernard Frischer,Frischer,Bernard,,Professor of Art,University of Virginia,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Bernard Frischer is a leading virtual archaeologist and the author of seven printed books, three e-books, and dozens of articles on virtual heritage, Classics, and the survival of the Classical world. He is the founding editor of {\field{\*\fldinst{HYPERLINK ""www.journals.elsevier.com/digital-applications-in-archaeology-and-cultural-heritage/news/editor-in-chief-introduces-the-journal/""}}{\fldrslt{\ul
Digital Applications in Archaeology and Cultural Heritage
}}}
, an innovative online, peer-reviewed journal where scientists can publish interactive 3D models.\par}

",frischer.org,
Beth Bonsignore,Bonsignore,Beth,,,"iSchool, University of Maryland",,,"

",,ebonsign
Beth Coleman,Coleman,Beth,,Assistant Professor of Writing and New Media,Massachusetts Institute of Technology,,,"

",,drbethcoleman
Beth Plale,Plale,Beth,,"Professor, Computer Science",Indiana University,,,"{\pard \ql \f0 \sa0 \li0 \fi0 {\b Beth Plale}\u160?is Director of the Data To Insight Center and Professor of Computer Science at Indiana University Bloomington.\u160? Professor Plale\u160?has broad research and governance interest in long term preservation and access to digital data, and enabling computational access to large-scale data for broader groups of researchers. Her specific research interests are in tools for metadata and provenance capture, data repositories, cyberinfrastructure for large-scale data analysis, and workflow systems.\u160?\u160?Plale is a recipient of the prestigious DOE Early Career award and is a senior member of ACM and an IEEE Member.\par}

",,
Bethany Nowviskie,Nowviskie,Bethany,,Director of Digital Research and Scholarship,University of Virginia Library,,,"{\pard \ql \f0 \sa0 \li0 \fi0 {\b Bethany Nowviskie} is Director of Digital Research & Scholarship at the {\field{\*\fldinst{HYPERLINK ""lib.virginia.edu/""}}{\fldrslt{\ul
University of Virginia Library
}}}
, Associate Director of the {\field{\*\fldinst{HYPERLINK ""uvasci.org""}}{\fldrslt{\ul
Scholarly Communication Institute
}}}
, and President of the {\field{\*\fldinst{HYPERLINK ""ach.org""}}{\fldrslt{\ul
Association for Computers and the Humanities
}}}
 (ACH). In addition to leading the ACH, she is a steering committee member for {\field{\*\fldinst{HYPERLINK ""digitalhumanities.orgcenternet/""}}{\fldrslt{\ul
centerNet
}}}
 (the international organization of digital humanities centers) and {\field{\*\fldinst{HYPERLINK ""mediacommons.futureofthebook.org""}}{\fldrslt{\ul
MediaCommons
}}}
, and chair of the {\field{\*\fldinst{HYPERLINK ""mla.org""}}{\fldrslt{\ul
MLA
}}}
\u8216's Committee on Information Technology. At UVa, she represents the Library on the {\field{\*\fldinst{HYPERLINK ""www.virginia.edu/generalfacultycouncil/""}}{\fldrslt{\ul
General Faculty Council
}}}
.\par}

",,nowviskie
